"coordinates (μm)","size (μm)"
"(549.1497975708503, 474.00809716599184)",38.96167233971052
"(708.421052631579, 459.4736842105263)",14.449815826479364
"(458.94736842105266, 456.84210526315786)",5.818848833201439
"(616.5413533834586, 467.3684210526316)",30.23562546200332
"(393.6842105263158, 450.5263157894736)",5.818848833201439
"(888.0451127819548, 465.6390977443608)",38.30435234919773
"(515.7894736842105, 450.87719298245605)",12.112899772108616
"(49.122807017543856, 450.8771929824561)",16.797569701112952
"(98.94736842105263, 447.8947368421052)",7.512101541695878
"(503.859649122807, 443.5087719298246)",4.751070177244263
"(146.94736842105263, 448.0)",12.112899772108616
"(954.7368421052631, 461.5204678362573)",40.103647998945966
